pop	state	county	tract
4125	39	049	006353
7059	39	049	006371
6941	39	049	006372
9427	39	049	006383
6696	39	049	006384
4065	39	049	006386
6035	39	049	006387
4827	39	049	006391
4363	39	049	006392
5896	39	049	006393
2789	39	049	006394
3328	39	049	006395
4920	39	049	006396
2817	39	049	006410
4649	39	049	006430
3612	39	049	006500
3859	39	049	006600
2850	39	049	006710
3398	39	049	006721
3081	39	049	006722
2109	39	049	006810
3659	39	049	006821
1967	39	049	006822
1575	39	049	006910
4004	39	049	006921
3164	39	049	006923
3493	39	049	006924
6637	39	049	006931
6281	39	049	006932
5272	39	049	006933
1299	39	049	006942
4500	39	049	006943
4079	39	049	006944
5901	39	049	006945
2620	39	049	006950
6487	39	049	006990
3846	39	049	007010
6201	39	049	007020
2066	39	049	007041
4648	39	049	007043
6271	39	049	007044
3873	39	049	007047
6108	39	049	007048
6540	39	049	007112
4356	39	049	007113
4645	39	049	007114
5063	39	049	007115
5180	39	049	007120
7898	39	049	007132
6243	39	049	007193
6607	39	049	007194
2948	39	049	007198
5682	39	049	007199
514	39	049	007201
3367	39	049	007202
3949	39	049	007203
4127	39	049	007205
4368	39	049	007207
6476	39	049	007209
8603	39	049	007210
8935	39	049	007393
2520	39	049	007394
13274	39	049	007395
10253	39	049	007396
5621	39	049	007424
2822	39	049	007425
2815	39	049	007426
6089	39	049	007427
6064	39	049	007492
4119	39	049	007494
1659	39	049	007511
3831	39	049	007512
3244	39	049	007520
2764	39	049	007531
2273	39	049	007532
1833	39	049	007533
3262	39	049	007534
3180	39	049	007550
8994	39	049	007551
4227	39	049	007710
5163	39	049	007721
3023	39	049	007722
3101	39	049	007730
1839	39	049	007740
3552	39	049	007811
4453	39	049	007812
3604	39	049	007820
2333	39	049	007830
9088	39	049	007921
4536	39	049	007922
4507	39	049	007931
8395	39	049	007933
2684	39	049	007941
9793	39	049	007951
7316	39	049	007952
6694	39	049	007953
8172	39	049	007954
5437	39	049	008000
3823	39	049	008110
3660	39	049	008120
7472	39	049	008132
8662	39	049	008141
6721	39	049	008142
7555	39	049	008161
8670	39	049	008162
3831	39	049	008163
4024	39	049	008164
2100	39	049	008210
1628	39	049	008230
2111	39	049	008241
5855	39	049	008242
5075	39	049	008311
4532	39	049	008312
2664	39	049	008321
4095	39	049	008322
1432	39	049	008330
6023	39	049	008340
7325	39	049	008350
6345	39	049	008360
7387	39	049	008370
5385	39	049	008380
3008	39	049	008400
4624	39	049	008500
2896	39	049	008710
3158	39	049	008720
2049	39	049	008730
1909	39	049	008811
2992	39	049	008812
2583	39	049	008813
2809	39	049	008821
4530	39	049	008822
7102	39	049	008825
5359	39	049	008900
3114	39	049	009000
4813	39	049	009100
4621	39	049	009210
1939	39	049	009220
4994	39	049	009230
1958	39	049	009240
1900	39	049	009250
2996	39	049	009311
3086	39	049	009312
2334	39	049	009321
3883	39	049	009322
3484	39	049	009323
3848	39	049	009325
1567	39	049	009326
943	39	049	009331
3105	39	049	009332
2550	39	049	009333
3070	39	049	009334
2932	39	049	009336
3985	39	049	009337
3061	39	049	009340
2590	39	049	009350
5489	39	049	009361
6894	39	049	009362
5470	39	049	009371
4012	39	049	009372
6327	39	049	009373
8221	39	049	009374
5915	39	049	009381
2801	39	049	009382
2345	39	049	009383
2301	39	049	009384
3455	39	049	009385
3173	39	049	009386
5750	39	049	009390
2883	39	049	009410
5646	39	049	009420
8009	39	049	009430
4637	39	049	009440
9380	39	049	009450
4680	39	049	009495
1639	39	049	009497
4279	39	049	009520
5194	39	049	009590
4082	39	049	009600
4509	39	049	009711
2660	39	049	009712
6562	39	049	009720
14214	39	049	009740
5619	39	049	009751
6077	39	049	009752
6877	39	049	009800
1585	39	049	009900
5263	39	049	010000
1047	39	049	010100
17283	39	049	010200
2981	39	049	010300
7638	39	049	010400
8076	39	049	010500
4947	39	049	010601
6493	39	049	010602
1451	39	049	010700
0	39	049	980000
3224	39	051	040100
4678	39	051	040200
4582	39	051	040300
